Serial,Potential(V),Current (uA),pH,Temperature,GLUCOSE
1,-0.599966,0,4.5,25,0.3mM
2,-0.589958,-0.189524,4.5,25,0.3mM
3,-0.57995,0,4.5,25,0.3mM
4,-0.569943,-0.094762064,4.5,25,0.3mM
5,-0.559935,0,4.5,25,0.3mM
6,-0.549927,-0.094994896,4.5,25,0.3mM
7,-0.539919,-0.094762064,4.5,25,0.3mM
8,-0.529911,-0.094994896,4.5,25,0.3mM
9,-0.519904,0,4.5,25,0.3mM
10,-0.509896,-0.094994896,4.5,25,0.3mM
11,-0.499888,0,4.5,25,0.3mM
12,-0.48988,0,4.5,25,0.3mM
13,-0.479872,0,4.5,25,0.3mM
14,-0.469865,0,4.5,25,0.3mM
15,-0.459857,0,4.5,25,0.3mM
16,-0.449849,0,4.5,25,0.3mM
17,-0.439841,0,4.5,25,0.3mM
18,-0.429834,0,4.5,25,0.3mM
19,-0.419826,0,4.5,25,0.3mM
20,-0.409818,0,4.5,25,0.3mM
21,-0.39981,0,4.5,25,0.3mM
22,-0.389802,0,4.5,25,0.3mM
23,-0.379795,0,4.5,25,0.3mM
24,-0.369787,0,4.5,25,0.3mM
25,-0.359779,-0.094762064,4.5,25,0.3mM
26,-0.349771,0.284519,4.5,25,0.3mM
27,-0.339764,3.412831,4.5,25,0.3mM
28,-0.329756,311.693,4.5,25,0.3mM
29,-0.319748,648.129,4.5,25,0.3mM
30,-0.30974,985.891,4.5,25,0.3mM
31,-0.299732,1323.559,4.5,25,0.3mM
32,-0.289725,1662.459,4.5,25,0.3mM
33,-0.279717,2001.265,4.5,25,0.3mM
34,-0.269709,2341.398,4.5,25,0.3mM
35,-0.259701,2678.876,4.5,25,0.3mM
36,-0.249694,3020.715,4.5,25,0.3mM
37,-0.239686,3364.924,4.5,25,0.3mM
38,-0.229678,3709.133,4.5,25,0.3mM
39,-0.21967,4054.1,4.5,25,0.3mM
40,-0.209662,4401.248,4.5,25,0.3mM
41,-0.199655,4744.129,4.5,25,0.3mM
42,-0.189647,5093.363,4.5,25,0.3mM
43,-0.179639,5445.44,4.5,25,0.3mM
44,-0.169631,5762.916,4.5,25,0.3mM
45,-0.159624,6051.858,4.5,25,0.3mM
46,-0.149616,5936.205,4.5,25,0.3mM
47,-0.139608,5628.777,4.5,25,0.3mM
48,-0.129600736,5323.53,4.5,25,0.3mM
49,-0.119592968,5031.839,4.5,25,0.3mM
50,-0.109585184,4758.538,4.5,25,0.3mM
51,-0.099577408,4509.412,4.5,25,0.3mM
52,-0.089569624,4290.051,4.5,25,0.3mM
53,-0.079561848,4105.575,4.5,25,0.3mM
54,-0.069554072,3962.905,4.5,25,0.3mM
55,-0.059546288,3868.392,4.5,25,0.3mM
56,-0.049538508,3825.449,4.5,25,0.3mM
57,-0.039530728,3812.651,4.5,25,0.3mM
58,-0.029522948,3795.872,4.5,25,0.3mM
59,-0.01951517,3757.669,4.5,25,0.3mM
60,-0.009507391,3687.14,4.5,25,0.3mM
61,0.000500388,3578.692,4.5,25,0.3mM
62,0.010508168,3430.903,4.5,25,0.3mM
63,0.020515946,3252.304,4.5,25,0.3mM
64,0.030523726,3049.343,4.5,25,0.3mM
65,0.040531504,2825.148,4.5,25,0.3mM
